threshold,atr_factor,n_trades,win_rate,expectancy,max_dd
0.4,0.8,1,0.0,-1.9674224853515625,0.0
0.4,1.0,1,0.0,-1.9674224853515625,0.0
0.4,1.2,1,0.0,-1.9674224853515625,0.0
0.4,1.5,1,0.0,-1.9674224853515625,0.0
0.4,2.0,1,0.0,-1.9674224853515625,0.0
0.45,0.8,1,0.0,-1.9674224853515625,0.0
0.45,1.0,1,0.0,-1.9674224853515625,0.0
0.45,1.2,1,0.0,-1.9674224853515625,0.0
0.45,1.5,1,0.0,-1.9674224853515625,0.0
0.45,2.0,1,0.0,-1.9674224853515625,0.0
0.5,0.8,1,0.0,-1.9674224853515625,0.0
0.5,1.0,1,0.0,-1.9674224853515625,0.0
0.5,1.2,1,0.0,-1.9674224853515625,0.0
0.5,1.5,1,0.0,-1.9674224853515625,0.0
0.5,2.0,1,0.0,-1.9674224853515625,0.0
0.55,0.8,1,0.0,-1.9674224853515625,0.0
0.55,1.0,1,0.0,-1.9674224853515625,0.0
0.55,1.2,1,0.0,-1.9674224853515625,0.0
0.55,1.5,1,0.0,-1.9674224853515625,0.0
0.55,2.0,1,0.0,-1.9674224853515625,0.0
0.6,0.8,1,0.0,-1.9674224853515625,0.0
0.6,1.0,1,0.0,-1.9674224853515625,0.0
0.6,1.2,1,0.0,-1.9674224853515625,0.0
0.6,1.5,1,0.0,-1.9674224853515625,0.0
0.6,2.0,1,0.0,-1.9674224853515625,0.0
